RUN_ID,SERVER_COUNT,RUN_TIME,RESULT_ID,BLPKG_DEPOT_OBJECT_ID,HOTFIX_COUNT,TOTAL_HOTFIX_SIZE,TOTAL_SIZE_MB,RUN_TIME_MINS
3886196,3,2031,6253480,2631065,5,112165054,107,34
3886239,7,2051,6256035,2631073,9,115101989,110,34
3886298,1,1870,6256089,2660867,26,281709644,269,31
3886331,1,2847,6253633,2631084,27,152380793,145,47
3886399,1,451,6253688,2660856,25,240307905,229,8
3886441,1,1903,6266365,2631049,9,126002058,120,32
3886475,1,2595,6266393,2660869,21,164332635,157,43
3886533,1,4029,6253829,2631082,28,243268906,232,67
3886725,1,900,6254019,2631060,8,104180813,99,15
3886782,1,76840,6278028,2660858,20,160872012,153,1281
3887474,5,1908,6258214,2631039,9,131079294,125,32
3887679,4,3934,6254968,2631078,6,96610526,92,66
3887958,1,796,6271376,2631066,8,112831536,108,13
3888081,1,1656,6271001,2631072,5,89797558,86,28
3888269,1,1316,6255460,2631080,10,135727864,129,22
3888371,30,2648,6255566,2631052,8,128854772,123,44
3888476,1,3154,6255670,2631054,27,302886004,289,53
3888551,1,72364,6255769,2631063,15,134320254,128,1206
3888654,1,1129,6267992,2631041,5,70677541,67,19
3888694,1,2253,6276126,2660838,29,288283375,275,38
3888696,11,1053,6276127,2660888,7,125554341,120,18
3888887,1,928,6256176,2631071,4,57376020,55,15
3888995,7,1982,6256482,2631076,6,99175486,95,33
3889095,1,1376,6265898,2631070,28,294365040,281,23
3889177,2,9763,6256766,2660863,37,325440540,310,163
3889229,1,3244,6257529,2631057,6,113335011,108,54
3889279,2,895,6276629,2660846,10,108571376,104,15
3889391,1,1622,6257880,2631062,7,120402027,115,27
3889538,1,3597,6266433,2631051,7,85048885,81,60
3889587,1,405,6283032,2660881,5,72362886,69,7
3889627,1,1443,6266845,2631061,9,126002058,120,24
3889665,1,5388,6266877,2660864,34,240952124,230,90
3889668,1,502,6266879,2660893,5,110183193,105,8
3889670,4,891,6266880,2660904,7,120402027,115,15
3889702,8,2283,6259302,2631077,8,128284935,122,38
3889705,10,1757,6259304,2660855,15,134320254,128,29
3889812,38,4782,6259410,2631044,6,118978022,113,80
3889834,1,1581,6259427,2660868,17,159233222,152,26
3889905,1,2150,6268103,2631047,16,134873749,129,36
3889918,7,7359,6281310,2660873,20,163162678,156,123
3890006,1,723,6259605,2631069,7,102505064,98,12
3890104,5,1228,6259704,2631058,8,104775517,100,20
3890114,1,6539,6281482,2660853,36,256098075,244,109
3890215,2,1312,6259911,2631055,14,154975615,148,22
3890231,1,797,6259924,2660889,5,116761430,111,13
3890233,1,419,6259925,2660908,8,127309891,121,7
3890304,3,3746,6259803,2631056,5,89797558,86,62
3890318,7,1287,6259811,2660890,7,120402027,115,21
3890320,1,100,6259812,2660910,10,112890012,108,2
3890414,4,5252,6260012,2631046,7,110368782,105,88
3890441,1,650,6260037,2660847,9,115176769,110,11
3890514,19,1875,6260115,2631043,6,99175486,95,31
3890537,5,668,6260132,2660861,10,140986320,134,11
3890704,1,1141,6260304,2631067,8,104775517,100,19
3890711,1,5751,6282694,2660850,61,347827600,332,96
3891104,8,1808,6261603,2631083,9,130509457,124,30
3891111,1,570,6261609,2660857,19,157739646,150,10
3891113,10,1240,6261610,2660880,6,99175486,95,21
3891115,1,622,6261611,2660894,3,55139886,53,10
3891211,2,6051,6261707,2631048,19,167232534,159,101
3891230,1,938,6261719,2660883,5,116761430,111,16
3891398,1,5210,6263164,2630411,117,582225962,555,87
3892988,3,2185,6271252,2631081,8,122672480,117,36
3893160,1,10675,6269253,2631038,18,135453157,129,178
3893261,1,2577,6270713,2631059,10,142079363,135,43
3893459,14,1547,6270618,2631042,7,101445939,97,26
3893516,17,1911,6266123,2631075,7,102505064,98,32
3893598,1,1245,6266193,2660870,10,139324844,133,21
3893613,5,4302,6262364,2631064,5,70677541,67,72
3893693,1,539,6276829,2660878,8,126595679,121,9
3893709,5,4654,6269309,2631079,7,132736278,127,78
3894903,2,3588,6270802,2631085,10,136328530,130,60
3895003,60,5494,6270902,2631040,5,112165054,107,92
3895008,1,912,6270905,2660852,16,157166846,150,15
3895014,5,1295,6270909,2660879,4,109928920,105,22
3895103,4,1715,6271102,2631045,8,122672480,117,29
3895108,2,715,6271106,2660866,8,64981619,62,12
3895397,2,793,6284620,2660872,10,108571376,104,13
3895492,2,1434,6271478,2660892,8,126595679,121,24
3895595,1,1055,6272962,2660859,22,136978912,131,18
3896479,1,1452,6274381,2660865,11,168918594,161,24
3896497,2,455,6274396,2660887,5,72362886,69,8
3896782,1,2249,6274885,2660844,14,133329238,127,37
3896793,15,1086,6274892,2660877,7,125554341,120,18
3896795,8,694,6274893,2660902,7,125554341,120,12
3897065,1,972,6284796,2660885,30,180267935,172,16
3897154,4,578,6287601,2660860,1,13758256,13,10
3897173,6,1321,6287614,2660875,7,120402027,115,22
3897619,1,1022,6276932,2660843,12,120742062,115,17
3898106,1,4456,6269486,2660862,34,262424333,250,74
3898113,12,1187,6269491,2660895,6,99175486,95,20
3898115,5,982,6269492,2660907,6,99175486,95,16
3898347,4,714,6279178,2660840,8,128284935,122,12
3898357,1,1834,6279185,2660898,5,111098877,106,31
3898642,1,2049,6284914,2660896,46,227361572,217,34
3898767,1,1889,6283364,2660851,33,288959399,276,31
3898820,2,1151,6276281,2660901,7,105369138,100,19
3899008,1,817,6272492,2660871,8,112831536,108,14
3899013,1,1344,6272495,2660906,5,116083286,111,22
3899232,2,10980,6283170,2660841,30,240282270,229,183
3899337,1,917,6281061,2660882,14,117083206,112,15
3899432,2,1824,6284438,2660845,21,181600666,173,30
3901216,1,5274,6284580,2660842,28,212028302,202,88
3901237,1,808,6284596,2660909,4,61294252,58,13
3901313,1,802,6287464,2660839,13,147560051,141,13
3901332,1,1093,6287477,2660886,7,105369138,100,18
3901337,1,3579,6287481,2660903,16,126534259,121,60
3901802,1,549,6272968,2660876,10,141879156,135,9
3901804,3,953,6272969,2660891,4,109928920,105,16
3901904,4,1844,6266196,2660905,8,126595679,121,31
3925338,1,663,6358303,2720999,4,60544351,58,11
3933768,5,2358,6399073,2723218,8,122311163,117,39
3940886,1,6477,6394465,2723239,6,104444441,100,108
3940975,12,15982,6392583,2723231,6,104444441,100,266
3941147,1,1293,6394836,2723224,7,134461437,128,22
3941784,1,1050,6398252,2723233,3,53677369,51,18
3942647,2,3512,6393656,2723222,9,143573852,137,59
3943157,2,4491,6402033,2723240,5,122136636,116,75
3943424,1,11147,6400366,2723241,7,118202697,113,186
3943551,108,14174,6402347,2723246,4,108378380,103,236
3944409,2,7442,6378876,2723223,6,83832698,80,124
3944644,1,1007,6392680,2723225,13,157015963,150,17
3944745,63,11116,6406684,2723226,7,111984691,107,185
3944864,1,1462,6401772,2723221,8,135746534,129,24
3944987,3,3902,6408513,2723238,4,108378380,103,65
3945189,10,4014,6407660,2723245,6,131872390,126,67
3945292,8,2682,6409508,2723228,7,111984691,107,45
3945350,1,1790,6403739,2723248,18,157901734,151,30
3945806,7,4371,6405093,2723229,5,130110323,124,73
3945907,1,3286,6404106,2723227,24,189333205,181,55
3946075,55,4354,6404601,2723220,8,134728115,128,73
3946204,3,1956,6404303,2723242,9,145728184,139,33
3946518,1,2071,6393173,2723232,9,155988139,149,35
3946604,7,2970,6406703,2723234,8,133247380,127,50
3946730,7,2312,6404243,2723237,8,133247380,127,39
3947603,1,1100,6408602,2723244,19,156642575,149,18
3947703,1,1119,6408702,2723236,7,145630646,139,19
3947803,1,1261,6408802,2723230,24,172822192,165,21
3947903,6,1698,6408902,2723235,12,156227022,149,28
3948003,1,2436,6409002,2723247,19,160490781,153,41
3948305,4,9158,6402935,2723219,6,83832698,80,153
3948400,4,2255,6409600,2723243,12,145502960,139,38
3952077,1,1063,6424928,2723661,11,142267300,136,18
3952090,3,10638,6424994,2723603,8,93771187,89,177
3952272,2,561,6430605,2723624,11,160966575,154,9
3952275,1,1092,6430607,2723680,6,90929635,87,18
3952283,1,675,6430613,2723738,10,124544202,119,11
3952285,1,972,6430614,2723758,5,77171379,74,16
3952398,3,442,6424644,2723618,10,149966506,143,7
3952568,10,1222,6419765,2723623,13,157040218,150,20
3952578,1,1371,6419772,2723692,8,117906823,112,23
3952583,2,868,6419775,2723701,11,142267300,136,14
3952681,16,2283,6429819,2723636,7,145630646,139,38
3952683,4,10467,6429820,2723628,8,93771187,89,174
3952685,1,320,6429821,2723633,11,150237250,143,5
3952687,1,1584,6429822,2723704,32,199787788,191,26
3952689,1,654,6429823,2723717,10,131020250,125,11
3952695,16,1687,6429827,2723685,7,145630646,139,28
3952833,1,2338,6420028,2723653,7,92996011,89,39
3952854,1,2275,6420042,2723640,14,144176445,137,38
3952860,1,1212,6420046,2723584,42,344413176,328,20
3952862,1,655,6420047,2723690,13,157040218,150,11
3952864,1,1887,6420048,2723679,17,141322909,135,31
3952953,1,4160,6420145,2723635,47,440267037,420,69
3952967,1,515,6420155,2723746,12,146172425,139,9
3952969,6,1911,6420156,2723725,7,134461437,128,32
3952971,7,782,6420157,2723757,11,152502047,145,13
