"RUN_ID","RUN_TIME","RESULT_ID","MICROSOFT_SERVER_COUNT","WINDOWS_2012","WINDOWS_2K8_R2","WINDOWS_2008","WINDOWS_2003","WINDOWS_10","WINDOWS_2K12_R2","WIN2012_R2_6_3","HOTFIX_COUNT","TOTAL_HOTFIX_SIZE","BATCH_JOB_RUN_ID","JOB_ID_DEPLOY"
3947803,1261,6408802,1,0,0,0,0,0,1,1,24,172822192,3947804,2659608
3959805,642,6431104,2,0,0,0,0,0,2,2,22,283555970,3959806,2661245
3897619,1022,6276932,1,0,1,0,0,0,0,0,12,120742062,3897620,2653062
3945907,3286,6404106,1,0,1,0,0,0,0,0,24,189333205,3945908,2659595
3959110,2180,6430107,1,0,1,0,0,0,0,0,5,66178832,3959111,2660372
3896479,1452,6274381,1,0,1,0,0,0,0,0,11,168918594,3896480,2653187
3954020,3642,6430759,2,0,2,0,0,0,0,0,40,339951308,3954021,2660370
3953938,365,6430818,1,0,0,0,0,0,1,1,1,4243585,3953939,2661158
3953620,329,6421341,1,0,0,0,0,0,1,1,2,4514329,3953621,2661016
3886331,2847,6253633,1,1,0,0,0,0,0,0,27,152380793,3886332,2651947
3953421,797,6430511,1,0,0,0,0,0,1,1,9,138971700,3953422,2661000
3901313,802,6287464,1,0,0,0,0,0,1,1,13,147560051,3901314,2653060
3954620,5235,6423515,1,0,0,1,0,0,0,0,20,222140595,3954621,2660536
3944644,1007,6392680,1,0,0,0,0,0,1,1,13,157015963,3944645,2659571
3945350,1790,6403739,1,0,1,0,0,0,0,0,18,157901734,3945351,2659708
3886475,2595,6266393,1,0,1,0,0,0,0,0,21,164332635,3886476,2653211
3941147,1293,6394836,1,0,1,0,0,0,0,0,7,134461437,3941148,2659562
3889668,502,6266879,1,0,1,0,0,0,0,0,5,110183193,3889669,2653355
3954830,4686,6424518,1,0,1,0,0,0,0,0,21,123768259,3954831,2660830
3893693,539,6276829,1,1,0,0,0,0,0,0,8,126595679,3893694,2653263
3898642,2049,6284914,1,0,0,0,0,0,1,1,46,227361572,3898643,2653375
3889905,2150,6268103,1,0,1,0,0,0,0,0,16,134873749,3889906,2651747
3896782,2249,6274885,1,0,1,0,0,0,0,0,14,133329238,3896783,2653058
3888269,1316,6255460,1,0,0,0,0,0,1,1,10,135727864,3888270,2651923
3959517,402,6424657,1,0,0,0,0,0,1,1,1,4243585,3959518,2661237
3953648,635,6421360,1,0,0,0,0,0,1,1,8,134709536,3953649,2661176
3896793,1086,6274892,15,0,0,0,0,0,15,15,105,1883315115,3896794,2653258
3948003,2436,6409002,1,0,1,0,0,0,0,0,19,160490781,3948004,2659703
3959515,766,6424656,2,0,0,0,0,0,2,2,22,283555970,3959516,2661095
3953090,1811,6420277,1,0,1,0,0,0,0,0,7,145630646,3953091,2660981
3954743,1398,6423626,1,0,1,0,0,0,0,0,6,131872390,3954744,2661285
3954574,1324,6423360,2,2,0,0,0,0,0,0,18,228374506,3954575,2661150
3889229,3244,6257529,1,0,1,0,0,0,0,0,6,113335011,3889230,2651797
3895108,715,6271106,2,0,2,0,0,0,0,0,16,129963238,3895109,2653186
