RESULT_ID,JOB_RUN_ID,START_TIME,END_TIME,SERVER_COUNT,RUN_TIME,JOB_ID,HOTFIX_COUNT,TOTAL_HOTFIX_SIZE
6420514,3953321,23-09-2016 18:01,23-09-2016 18:42,70,2495,2660582,70,1080399306
6393173,3946519,15-09-2016 20:01,15-09-2016 20:34,9,2071,2659615,9,155988139
6420277,3953091,23-09-2016 21:01,23-09-2016 21:31,7,1811,2660981,7,145630646
6420524,3953334,23-09-2016 21:02,23-09-2016 21:25,35,1493,2660385,35,540199653
6261719,3891231,23-07-2016 00:31,23-07-2016 00:45,5,938,2653293,5,116761430
6430761,3954024,23-09-2016 22:33,23-09-2016 22:51,7,1241,2660863,7,145630646
6429827,3952696,23-09-2016 22:31,23-09-2016 22:58,112,1687,2660812,112,2330090336
6430113,3959122,24-09-2016 01:02,24-09-2016 01:10,12,599,2661078,12,146172425
6253688,3901500,22-07-2016 21:02,22-07-2016 21:07,25,451,2653133,25,240307905
6430381,3959323,23-09-2016 22:31,23-09-2016 22:55,60,1459,2660798,60,1318723900
6423263,3954467,23-09-2016 23:30,23-09-2016 23:52,11,1314,2660709,11,142267300
6270618,3893460,14-07-2016 20:03,14-07-2016 20:26,98,1547,2651738,98,1420243146
6259812,3890321,23-07-2016 01:31,23-07-2016 01:31,10,100,2653460,10,112890012
6266879,3889669,23-07-2016 01:00,23-07-2016 01:08,5,502,2653355,5,110183193
6424656,3959516,24-09-2016 01:01,24-09-2016 01:12,22,766,2661095,22,283555970
6424526,3954846,24-09-2016 00:30,24-09-2016 00:44,20,861,2661220,20,270899884
6420515,3953323,23-09-2016 18:02,23-09-2016 18:25,30,1408,2660681,30,299418869
6266193,3893599,22-07-2016 21:00,22-07-2016 21:21,10,1245,2653224,10,139324844
6259811,3890319,23-07-2016 01:01,23-07-2016 01:21,49,1287,2653337,49,842814189
6281482,3890115,22-07-2016 21:02,22-07-2016 22:49,36,6539,2653112,36,256098075
6423620,3954733,23-09-2016 21:01,23-09-2016 22:08,28,4029,2660944,28,263889385
6276829,3893694,23-07-2016 00:31,23-07-2016 00:39,8,539,2653263,8,126595679
6420363,3953166,23-09-2016 18:04,23-09-2016 18:28,55,1717,2660662,55,499771066
6269491,3898114,23-07-2016 01:01,23-07-2016 01:19,72,1187,2653368,72,1190105832
6423177,3954230,23-09-2016 22:32,24-09-2016 00:31,90,7256,2660214,90,1211163291
6429820,3952684,23-09-2016 21:00,23-09-2016 23:55,32,10467,2660456,32,375084748
6266433,3889539,14-07-2016 20:02,14-07-2016 21:00,7,3597,2651753,7,85048885
6402033,3943158,15-09-2016 20:00,15-09-2016 21:15,10,4491,2659663,10,244273272
6423167,3954214,23-09-2016 18:01,23-09-2016 18:21,9,1251,2660673,9,178941319
6272492,3899009,22-07-2016 21:03,22-07-2016 21:13,8,817,2653220,8,112831536
6401772,3944865,15-09-2016 20:04,15-09-2016 20:24,8,1462,2659565,8,135746534
6281061,3899338,23-07-2016 00:30,23-07-2016 00:45,14,917,2653288,14,117083206
6259924,3890232,23-07-2016 01:01,23-07-2016 01:13,5,797,2653333,5,116761430
6420372,3953179,23-09-2016 22:31,23-09-2016 23:59,33,5366,2660237,33,256687411
6431102,3959803,24-09-2016 01:00,24-09-2016 01:11,24,677,2661113,24,287067070
6421115,3953825,23-09-2016 22:30,23-09-2016 22:36,2,345,2660864,2,8487170
6430614,3952286,24-09-2016 01:30,24-09-2016 01:46,5,972,2661253,5,77171379
6266877,3889666,22-07-2016 21:02,22-07-2016 22:30,34,5388,2653193,34,240952124
6400366,3943425,15-09-2016 20:05,15-09-2016 23:05,7,11147,2659670,7,118202697
6420048,3952865,23-09-2016 22:30,23-09-2016 23:01,17,1887,2660789,17,141322909
6422871,3954118,23-09-2016 18:01,23-09-2016 18:15,7,865,2660630,7,138284984
6266123,3893517,14-07-2016 20:00,14-07-2016 20:32,119,1911,2651895,119,1742586088
6420290,3959709,24-09-2016 01:31,24-09-2016 01:32,12,115,2661275,12,113654661
6422872,3954120,23-09-2016 18:01,23-09-2016 18:15,9,861,2660589,9,138971700
6266880,3889671,23-07-2016 01:30,23-07-2016 01:45,28,891,2653424,28,481608108
6259410,3889813,14-07-2016 20:00,14-07-2016 21:20,228,4782,2651697,228,4521164836
6402347,3943552,15-09-2016 20:03,15-09-2016 23:56,432,14174,2659697,432,11704865040
6422882,3954136,23-09-2016 22:32,23-09-2016 23:07,23,2256,2660246,23,186744158
6420047,3952863,23-09-2016 22:30,23-09-2016 22:41,13,655,2660844,13,157040218
6420852,3953264,24-09-2016 01:00,24-09-2016 01:19,10,1166,2661050,10,124544202
6423174,3954225,23-09-2016 21:02,23-09-2016 21:30,170,1807,2660354,170,2057078387
6424644,3952399,23-09-2016 21:02,23-09-2016 21:07,30,442,2660406,30,449899518
6263164,3891399,13-07-2016 22:00,13-07-2016 23:26,117,5210,2651613,117,582225962
6271376,3887959,14-07-2016 20:04,14-07-2016 20:13,8,796,2651842,8,112831536
6276629,3889280,22-07-2016 21:00,22-07-2016 21:15,20,895,2653078,20,217142752
6281310,3889919,22-07-2016 21:02,22-07-2016 23:02,140,7359,2653232,140,1142138746
6287477,3901333,23-07-2016 01:00,23-07-2016 01:18,7,1093,2653310,7,105369138
6404106,3945908,15-09-2016 20:00,15-09-2016 20:54,24,3286,2659595,24,189333205
6423523,3954636,23-09-2016 23:30,23-09-2016 23:35,1,346,2660700,1,4243585
6424647,3959503,23-09-2016 22:32,24-09-2016 00:29,37,7125,2660274,37,262234090
6256089,3886299,22-07-2016 21:02,22-07-2016 21:31,26,1870,2653201,26,281709644
6279185,3898358,23-07-2016 01:01,23-07-2016 01:30,5,1834,2653383,5,111098877
6429821,3952686,23-09-2016 21:00,23-09-2016 21:06,11,320,2660495,11,150237250
6271001,3888082,14-07-2016 20:02,14-07-2016 20:27,5,1656,2651863,5,89797558
6271252,3892989,14-07-2016 20:01,14-07-2016 20:36,24,2185,2651925,24,368017440
6430818,3953939,24-09-2016 00:30,24-09-2016 00:36,1,365,2661158,1,4243585
6259304,3889706,22-07-2016 21:01,22-07-2016 21:29,150,1757,2653127,150,1343202540
6420369,3953175,23-09-2016 21:03,23-09-2016 22:01,108,3693,2660415,108,2373703020
6422881,3954134,23-09-2016 21:01,23-09-2016 21:13,16,761,2660551,16,294445168
6430382,3959325,23-09-2016 22:31,23-09-2016 22:45,19,861,2660889,19,204613158
6430517,3953430,23-09-2016 22:31,23-09-2016 22:42,8,735,2660268,8,147268656
6272962,3895596,22-07-2016 21:03,22-07-2016 21:17,22,1055,2653154,22,136978912
6430820,3953943,24-09-2016 01:30,24-09-2016 01:42,9,732,2661266,9,114187253
6258214,3887475,14-07-2016 20:03,14-07-2016 20:32,45,1908,2651712,45,655396470
6276281,3898821,23-07-2016 01:31,23-07-2016 01:49,14,1151,2653411,14,210738276
6424506,3954809,23-09-2016 18:02,23-09-2016 18:31,338,1851,2660620,338,4083045668
6274396,3896498,23-07-2016 01:00,23-07-2016 01:07,10,455,2653314,10,144725772
6404243,3946731,15-09-2016 20:03,15-09-2016 20:38,56,2312,2659644,56,932731660
6420046,3952861,23-09-2016 22:30,23-09-2016 22:50,42,1212,2660199,42,344413176
6423256,3954454,23-09-2016 21:00,23-09-2016 21:23,48,1379,2660937,48,539518840
6253633,3886332,14-07-2016 20:04,14-07-2016 20:47,27,2847,2651947,27,152380793
6279178,3898348,22-07-2016 21:01,22-07-2016 21:12,32,714,2653035,32,513139740
6254968,3887680,14-07-2016 20:02,14-07-2016 21:05,24,3934,2651909,24,386442104
6423258,3954458,23-09-2016 21:00,23-09-2016 21:15,27,902,2660368,27,416915100
6430225,3959227,23-09-2016 21:01,23-09-2016 21:36,156,2146,2660968,156,2037934743
6430819,3953941,24-09-2016 01:00,24-09-2016 01:05,1,352,2661064,1,4243585
6420424,3953536,24-09-2016 00:32,25-09-2016 04:04,33,99292,2661169,33,374729208
6266196,3901905,23-07-2016 01:30,23-07-2016 02:00,32,1844,2653431,32,506382716
6430908,3959415,23-09-2016 22:31,23-09-2016 22:55,144,1526,2660181,144,1120885038
6430228,3959233,23-09-2016 21:01,23-09-2016 21:22,33,1261,2660478,33,426801900
6429823,3952690,23-09-2016 21:01,23-09-2016 21:12,10,654,2661003,10,131020250
6420042,3952855,23-09-2016 21:03,23-09-2016 21:38,14,2275,2660539,14,144176445
6431104,3959806,24-09-2016 01:30,24-09-2016 01:40,22,642,2661245,22,283555970
6260037,3890442,22-07-2016 21:01,22-07-2016 21:11,9,650,2653079,9,115176769
6402935,3948306,15-09-2016 20:02,15-09-2016 22:32,24,9158,2659564,24,335330792
6420832,3953236,23-09-2016 18:03,23-09-2016 18:45,125,2725,2660596,125,1929284475
6261707,3891212,14-07-2016 20:01,14-07-2016 21:41,38,6051,2651750,38,334465068
6267992,3888655,14-07-2016 20:01,14-07-2016 20:19,5,1129,2651710,5,70677541
6423515,3954621,23-09-2016 21:02,23-09-2016 22:27,20,5235,2660536,20,222140595
6358303,3925269,25-08-2016 13:09,25-08-2016 13:21,4,663,2656687,4,60544351
6393656,3942648,15-09-2016 20:01,15-09-2016 20:58,18,3512,2659555,18,287147704
6407660,3945190,15-09-2016 20:01,15-09-2016 21:07,60,4014,2659685,60,1318723900
6287601,3897155,22-07-2016 21:00,22-07-2016 21:09,4,578,2653159,4,55033024
6406703,3946605,15-09-2016 20:03,15-09-2016 20:49,56,2970,2659627,56,932731660
6272495,3899014,23-07-2016 01:31,23-07-2016 01:52,5,1344,2653436,5,116083286
6422883,3954138,24-09-2016 01:30,24-09-2016 01:50,80,1244,2661278,80,1163724648
6423510,3954613,23-09-2016 18:02,23-09-2016 18:58,180,3359,2660636,180,3956171700
6420375,3953184,23-09-2016 23:30,23-09-2016 23:43,14,811,2660741,14,291261292
6420156,3952970,24-09-2016 01:01,24-09-2016 01:31,42,1911,2661052,42,806768622
6268103,3889906,14-07-2016 20:03,14-07-2016 20:36,16,2150,2651747,16,134873749
6256766,3889178,22-07-2016 21:00,22-07-2016 23:43,74,9763,2653176,74,650881080
6430230,3959237,23-09-2016 21:01,23-09-2016 21:42,19,2465,2660556,19,204613158
6266365,3886442,14-07-2016 20:03,14-07-2016 20:32,9,1903,2651749,9,126002058
6270902,3895004,14-07-2016 20:04,14-07-2016 21:31,300,5494,2651715,300,6729903240
6284620,3895398,22-07-2016 21:03,22-07-2016 21:13,20,793,2653227,20,217142752
6421120,3953833,23-09-2016 22:30,23-09-2016 22:52,80,1305,2660895,80,1234742064
6266845,3889628,14-07-2016 20:01,14-07-2016 20:24,9,1443,2651813,9,126002058
6423261,3954465,23-09-2016 22:33,23-09-2016 23:56,38,5196,2660275,38,323747727
6423518,3954627,23-09-2016 22:31,23-09-2016 22:48,38,1059,2660197,38,313285150
6409600,3948401,15-09-2016 20:04,15-09-2016 20:37,48,2255,2659684,48,582011840
6420525,3953336,23-09-2016 22:33,23-09-2016 23:09,46,2367,2660262,46,369768886
6394836,3941148,15-09-2016 20:00,15-09-2016 20:21,7,1293,2659562,7,134461437
6409508,3945293,15-09-2016 20:03,15-09-2016 20:44,56,2682,2659588,56,895877528
6420276,3953088,23-09-2016 21:01,23-09-2016 21:32,24,1915,2660360,24,444659079
6420529,3953342,24-09-2016 01:00,24-09-2016 01:21,5,1271,2661070,5,77171379
6424519,3954833,23-09-2016 22:31,23-09-2016 23:17,32,2744,2660252,32,273494398
6265898,3889096,14-07-2016 20:03,14-07-2016 20:23,28,1376,2651868,28,294365040
6423257,3954456,23-09-2016 21:00,23-09-2016 21:24,14,1466,2660513,14,291261292
6261609,3891112,22-07-2016 21:00,22-07-2016 21:09,19,570,2653143,19,157739646
6276126,3888695,22-07-2016 21:02,22-07-2016 21:37,29,2253,2653057,29,288283375
6255460,3888270,14-07-2016 20:01,14-07-2016 20:22,10,1316,2651923,10,135727864
6408702,3947704,15-09-2016 20:00,15-09-2016 20:18,7,1119,2659643,7,145630646
6422880,3954132,23-09-2016 21:00,23-09-2016 21:22,18,1333,2660547,18,175381072
6420847,3953257,23-09-2016 23:30,23-09-2016 23:56,23,1576,2660295,23,186744158
6284580,3901217,22-07-2016 21:02,22-07-2016 22:28,28,5274,2653069,28,212028302
6420409,3953512,23-09-2016 18:01,23-09-2016 18:20,11,1107,2660625,11,160714814
6420845,3953254,23-09-2016 22:33,23-09-2016 23:09,8,2322,2660787,8,117906823
6430226,3959229,23-09-2016 21:01,23-09-2016 21:26,187,1539,2660356,187,2232628411
6423525,3954640,24-09-2016 00:32,24-09-2016 00:43,24,810,2661205,24,287067070
6260304,3890705,14-07-2016 20:05,14-07-2016 20:19,8,1141,2651851,8,104775517
6274381,3896480,22-07-2016 21:01,22-07-2016 21:24,11,1452,2653187,11,168918594
6423353,3954563,23-09-2016 21:03,23-09-2016 21:35,18,2129,2660447,18,272788905
6287614,3897174,23-07-2016 00:30,23-07-2016 00:52,42,1321,2653250,42,722412162
6423621,3954735,23-09-2016 21:01,23-09-2016 21:19,7,1086,2660355,7,134461437
6398252,3941785,15-09-2016 20:02,15-09-2016 20:17,3,1050,2659620,3,53677369
6430107,3959111,23-09-2016 21:02,23-09-2016 21:36,5,2180,2660372,5,66178832
6392583,3940976,15-09-2016 20:03,16-09-2016 00:26,72,15982,2659601,72,1253333292
6287464,3901314,22-07-2016 21:02,22-07-2016 21:13,13,802,2653060,13,147560051
6266393,3886476,22-07-2016 21:02,22-07-2016 21:43,21,2595,2653211,21,164332635
6269486,3898107,22-07-2016 21:01,22-07-2016 22:14,34,4456,2653170,34,262424333
6430613,3952284,24-09-2016 00:31,24-09-2016 00:41,10,675,2661134,10,124544202
6378876,3944410,15-09-2016 20:00,15-09-2016 22:04,12,7442,2659558,12,167665396
6424518,3954831,23-09-2016 22:31,23-09-2016 23:49,21,4686,2660830,21,123768259
6424994,3952091,23-09-2016 21:01,23-09-2016 23:57,24,10638,2660339,24,281313561
6429822,3952688,23-09-2016 21:01,23-09-2016 21:27,32,1584,2660926,32,199787788
6424516,3954827,23-09-2016 22:31,23-09-2016 22:47,26,1040,2660206,26,165710571
6430374,3959313,23-09-2016 21:01,23-09-2016 21:34,15,2058,2660955,15,196678942
6282694,3890712,22-07-2016 21:02,22-07-2016 22:36,61,5751,2653119,61,347827600
6423520,3954631,23-09-2016 22:31,23-09-2016 22:48,21,1020,2660178,21,277702935
6276127,3888697,23-07-2016 01:01,23-07-2016 01:17,77,1053,2653327,77,1381097751
6403739,3945351,15-09-2016 20:04,15-09-2016 20:30,18,1790,2659708,18,157901734
6404303,3946205,15-09-2016 20:01,15-09-2016 20:32,27,1956,2659675,27,437184552
6408902,3947904,15-09-2016 20:01,15-09-2016 20:28,72,1698,2659630,72,937362132
6423622,3954737,23-09-2016 22:33,23-09-2016 23:07,26,2203,2660226,26,324088702
6287481,3901338,23-07-2016 01:31,23-07-2016 02:29,16,3579,2653419,16,126534259
6420513,3953319,23-09-2016 18:01,23-09-2016 18:12,40,708,2660684,40,484018444
6430227,3959231,23-09-2016 21:01,23-09-2016 21:32,8,1853,2660395,8,147697022
6430422,3953744,23-09-2016 23:33,23-09-2016 23:37,2,424,2660704,2,15238391
6430111,3959118,23-09-2016 23:30,23-09-2016 23:53,6,1432,2660753,6,131872390
6257529,3889230,14-07-2016 20:00,14-07-2016 20:54,6,3244,2651797,6,113335011
6420028,3952834,23-09-2016 18:00,23-09-2016 18:39,7,2338,2660613,7,92996011
6423018,3954327,24-09-2016 00:30,24-09-2016 00:55,42,1549,2661149,42,806768622
6430522,3953437,23-09-2016 23:32,23-09-2016 23:40,12,593,2660722,12,146040149
6408802,3947804,15-09-2016 20:02,15-09-2016 20:21,24,1261,2659608,24,172822192
6421109,3953815,23-09-2016 21:01,23-09-2016 21:49,220,2919,2660522,220,3395540676
6423255,3954452,23-09-2016 21:00,23-09-2016 21:05,2,315,2660322,2,8487170
6424657,3959518,24-09-2016 01:31,24-09-2016 01:36,1,402,2661237,1,4243585
6431101,3959801,24-09-2016 00:31,24-09-2016 00:47,121,1044,2661139,121,1559557835
6283032,3889588,23-07-2016 00:31,23-07-2016 00:36,5,405,2653282,5,72362886
6430605,3952273,23-09-2016 21:03,23-09-2016 21:09,22,561,2660446,22,321933150
6430510,3953420,23-09-2016 21:00,23-09-2016 21:17,8,1019,2660490,8,117906823
6421351,3953636,23-09-2016 22:30,23-09-2016 22:43,35,766,2660188,35,205862995
6420419,3953528,23-09-2016 22:32,23-09-2016 22:56,41,1593,2660229,41,344047642
6272969,3901805,23-07-2016 01:02,23-07-2016 01:16,12,953,2653345,12,329786760
6420382,3953195,24-09-2016 01:31,24-09-2016 02:01,6,1907,2661261,6,105167333
6429819,3952682,23-09-2016 21:00,23-09-2016 21:38,112,2283,2660510,112,2330090336
6284914,3898643,23-07-2016 01:02,23-07-2016 01:34,46,2049,2653375,46,227361572
6394465,3940887,15-09-2016 20:04,15-09-2016 21:48,6,6477,2659654,6,104444441
6262364,3893614,14-07-2016 20:03,14-07-2016 21:12,25,4302,2651829,25,353387705
6270802,3894904,14-07-2016 20:03,14-07-2016 21:00,20,3588,2651942,20,272657060
6423359,3954573,23-09-2016 23:30,23-09-2016 23:53,24,1385,2660289,24,191880859
6423616,3954725,23-09-2016 21:00,23-09-2016 21:19,11,1154,2660387,11,123070987
6420145,3952954,23-09-2016 21:02,23-09-2016 22:09,47,4160,2660538,47,440267037
6423625,3954742,24-09-2016 01:01,24-09-2016 01:10,10,619,2661088,10,136735830
6430388,3959336,24-09-2016 01:31,24-09-2016 01:47,54,1072,2661296,54,745217352
6269492,3898116,23-07-2016 01:31,23-07-2016 01:46,30,982,2653443,30,495877430
6423617,3954727,23-09-2016 21:01,23-09-2016 21:19,6,1111,2660540,6,79760426
6424928,3952078,23-09-2016 18:05,23-09-2016 18:18,11,1063,2660651,11,142267300
6430811,3953928,23-09-2016 22:32,23-09-2016 22:47,5,1048,2660875,5,130110323
6274893,3896796,23-07-2016 01:30,23-07-2016 01:41,56,694,2653407,56,1004434728
6253829,3886534,14-07-2016 20:03,14-07-2016 21:07,28,4029,2651937,28,243268906
6259925,3890234,23-07-2016 01:30,23-07-2016 01:37,8,419,2653448,8,127309891
6271102,3895104,14-07-2016 20:02,14-07-2016 20:28,32,1715,2651748,32,490689920
6421127,3953843,24-09-2016 00:31,24-09-2016 00:53,40,1397,2661194,40,581862324
6421336,3953613,23-09-2016 18:02,23-09-2016 18:22,132,1219,2660644,132,1606441639
6424525,3954843,23-09-2016 23:31,23-09-2016 23:35,10,330,2660758,10,149966506
6423626,3954744,24-09-2016 01:30,24-09-2016 01:53,6,1398,2661285,6,131872390
6272968,3901803,23-07-2016 00:30,23-07-2016 00:39,10,549,2653251,10,141879156
6421341,3953621,23-09-2016 21:00,23-09-2016 21:05,2,329,2661016,2,4514329
6430815,3953934,23-09-2016 23:31,23-09-2016 23:44,40,843,2660729,40,484018444
6430902,3959405,23-09-2016 21:02,23-09-2016 21:17,6,1036,2660427,6,131872390
6255566,3888372,14-07-2016 20:02,14-07-2016 20:44,240,2648,2651755,240,3865643160
